pi-0470-2006->[0613-0312, si-085-02, 2004-hum-353]
es-0199-2005->[si-085-02, otri-06-06-pc45, subcs09-001]
si-012-03->[0613-0312, 2002-fqm-296, og-029-01]
og-112-07->[si-085-02, subcs09-001, otri-06-06-pc45]
og-112-01->[si-016-08, og-005-00, og-086-03]
2006-hum-197->[si-085-02, subcs09-001, otri-06-06-pc45]
sej2007-30753-e->[si-085-02, og-017-01, 2004-hum-353]
hf2000-0009->[og-086-03, si-085-06, si-085-02]
cgl2004-22246-e->[si-016-08, 0613-0312, og-005-00]
2005-hum-436->[ren2002-10380-e, og-005-00, og-144-06]
si-012-08->[si-085-06, es-032-2003, bfm2001-3943]
og-066-06->[si-085-02, otri-06-06-pc45, og-086-08]
0235-0146->[og-074-02, og-086-03, og-030-02]
bio2001-5320-e->[0613-0312, es-032-2003, dpi2008-05818]
0933-0412->[0613-0312, 2002-cvi-210, es-032-2003]
si-138-05->[si-016-08, ren2002-10380-e, og-144-06]
si-081-05->[0613-0312, 2002-fqm-296, 2002-cvi-210]
saf2005-02847->[0613-0312, 2002-cvi-210, es-032-2003]
og-066-00->[si-085-06, 0613-0312, si-016-08]
og-066-02->[og-071-03, og-086-03, subcs09-001]
acc-354-sej-2001->[og-086-03, og-030-02, og-071-03]
hpme-ct-2002-00085->[si-085-02, si-085-06, pi-0551-2007]
acc-393-cvi-2001->[og-005-00, si-016-08, 0613-0312]
p08-hum-04159->[acc-511-hum-2001, pi060781, fis2008-05596]
convcr-001-2006->[acc-511-hum-2001, pi060781, fis2008-05596]
sn-0599-2007->[acc-511-hum-2001, fis2008-05596, si-048-04]
sej2006-07147->[0613-0312, 2002-fqm-296, 2002-cvi-210]
og-124-04->[si-016-08, og-005-00, og-144-06]
2004-cts-163->[si-085-02, subcs09-001, otri-06-06-pc45]
ae-0263-2005->[si-016-08, at2009-0039, og-086-03]
phb2004-0091-pc->[si-085-02, og-017-01, 2004-hum-353]
pi-0243-04->[subcs09-001, si-085-02, otri-06-06-pc45]
og-124-06->[si-085-02, 0613-0312, 2002-fqm-296]
es-0451-2006->[si-085-02, 2004-hum-353, 2002-fqm-296]
ti-224-2002->[0613-0312, 2002-fqm-296, 2002-cvi-210]
subfkpo-001-2006->[og-005-00, si-016-08, 0613-0312]
p07-cvi-03026->[si-016-08, 0613-0312, og-005-00]
334-04->[2002-fqm-296, si-085-02, si-085-07]
tempus 13430-98->[0613-0312, 2002-fqm-296, 2002-cvi-210]
2003-hum-625->[at2009-0039, og-030-02, hf2000-0056]
2005-cvi-242->[0613-0312, 2002-cvi-210, og-029-01]
pi-0576-2007->[si-085-02, 2002-fqm-296, subcs09-001]
0679-0335->[si-085-02, si-085-07, 2002-fqm-296]
0305-0144->[og-005-00, og-030-07, si-016-08]
0393-0204->[at2009-0039, hf2000-0056, og-086-03]
bia2010-20523->[subcs09-001, si-085-02, otri-06-06-pc45]
og-030-99->[2002-fqm-296, si-085-02, si-085-07]
bqu2002-01063->[2002-fqm-296, si-085-07, si-085-02]
p09-fqm-4537->[at2009-0039, og-030-02, hf2000-0056]
bio4-ct97-5047->[0613-0312, 2002-cvi-210, si-085-07]
bfm2000-1056->[at2009-0039, si-016-08, 2002-fqm-296]
agl2009-09069->[si-085-02, subcs09-001, es-032-2003]
ptr1995-829-op->[si-016-08, og-005-00, 0613-0312]
si-056-99->[si-016-08, og-005-00, at2009-0039]
1fd97-1788->[si-085-02, og-086-03, 2002-fqm-296]
tec2010-18937->[sej2005-24019-e, at2009-0039, og-030-02]
si-068-08->[2002-fqm-296, si-085-02, si-085-07]
bff2002-02970->[si-085-02, 0613-0312, otri-06-06-pc45]
si-068-05->[2002-fqm-296, si-085-02, si-085-07]
0069-0016->[si-085-02, si-085-07, 2004-hum-353]
si-088-99->[subcs09-001, si-085-02, otri-06-06-pc45]
2000-hum-225->[si-085-02, 2002-fqm-296, si-085-07]
si-068-00->[si-016-08, og-005-00, 0613-0312]
mat2010-21404-c02-02->[0613-0312, 2002-cvi-210, si-085-07]
mtm2010-19576-c02-01->[acc-511-hum-2001, pi060781, 2002-fqm-296]
1fd97-1085-c02-01->[2002-fqm-296, 0613-0312, og-029-01]
p07-tic-02533->[2002-fqm-296, si-085-07, si-085-02]
