p10-tic-6220,p10-tic-6323,3.0
p10-tic-6220,fem2010-15389,2.0
0858-0365,p10-tic-6323,0.0
0858-0365,fem2010-15389,2.0
otri-08-fcie44,p10-tic-6323,2.0
otri-08-fcie44,fem2010-15389,2.0
p10-tep-6412,p10-tic-6323,3.0
p10-tep-6412,fem2010-15389,0.0
0815-0378,p10-tic-6323,3.0
0815-0378,fem2010-15389,2.0
0886-0060,p10-tic-6323,2.0
0886-0060,fem2010-15389,2.0
0762-0145,pi-0408-2010,5.0
p011-08-e15,0762-0145,2.0
p011-08-e15,pi-0408-2010,0.0
p10-tic-6220,0762-0145,3.0
p10-tic-6220,pi-0408-2010,5.0
p052-08-e26,0762-0145,3.0
p052-08-e26,pi-0408-2010,5.0
0858-0365,0762-0145,2.0
0858-0365,pi-0408-2010,0.0
otri-08-fcie44,0762-0145,2.0
otri-08-fcie44,pi-0408-2010,0.0
p10-tep-6412,0762-0145,0.0
p10-tep-6412,pi-0408-2010,0.0
0815-0378,0762-0145,2.0
0815-0378,pi-0408-2010,0.0
0886-0060,0762-0145,2.0
0886-0060,pi-0408-2010,0.0
p040-07-e08,at2010-1-l1.1,3.0
0886-0060,p040-07-e08,2.0
0886-0060,at2010-1-l1.1,2.0
p052-08-e26,p040-07-e08,3.0
p052-08-e26,at2010-1-l1.1,3.0
p011-08-e15,p040-07-e08,2.0
p011-08-e15,at2010-1-l1.1,3.0
p10-tic-6220,p040-07-e08,2.0
p10-tic-6220,at2010-1-l1.1,2.0
0858-0365,p040-07-e08,0.0
0858-0365,at2010-1-l1.1,2.0
otri-08-fcie44,p040-07-e08,2.0
otri-08-fcie44,at2010-1-l1.1,2.0
p10-tep-6412,p040-07-e08,3.0
p10-tep-6412,at2010-1-l1.1,2.0
0815-0378,p040-07-e08,3.0
0815-0378,at2010-1-l1.1,3.0
0875-0393,p024-08-e05,2.0
0886-0060,0875-0393,0.0
0886-0060,p024-08-e05,2.0
p10-tic-6220,0875-0393,3.0
p10-tic-6220,p024-08-e05,2.0
p052-08-e26,0875-0393,5.0
p052-08-e26,p024-08-e05,2.0
p011-08-e15,0875-0393,2.0
p011-08-e15,p024-08-e05,5.0
0858-0365,0875-0393,0.0
0858-0365,p024-08-e05,3.0
otri-08-fcie44,0875-0393,0.0
otri-08-fcie44,p024-08-e05,3.0
p10-tep-6412,0875-0393,2.0
p10-tep-6412,p024-08-e05,2.0
0815-0378,0875-0393,2.0
0815-0378,p024-08-e05,3.0
0794-0096,op-0382-2010,5.0
0815-0378,0794-0096,3.0
0815-0378,op-0382-2010,3.0
p052-08-e26,0794-0096,0.0
p052-08-e26,op-0382-2010,0.0
0886-0060,0794-0096,3.0
0886-0060,op-0382-2010,3.0
p10-tic-6220,0794-0096,0.0
p10-tic-6220,op-0382-2010,0.0
p011-08-e15,0794-0096,3.0
p011-08-e15,op-0382-2010,5.0
0858-0365,0794-0096,3.0
0858-0365,op-0382-2010,5.0
otri-08-fcie44,0794-0096,5.0
otri-08-fcie44,op-0382-2010,5.0
p10-tep-6412,0794-0096,2.0
p10-tep-6412,op-0382-2010,0.0
tec2010-20861,sconp001-10,3.0
0815-0378,tec2010-20861,2.0
0815-0378,sconp001-10,3.0
p10-tic-6220,tec2010-20861,2.0
p10-tic-6220,sconp001-10,2.0
p052-08-e26,tec2010-20861,3.0
p052-08-e26,sconp001-10,2.0
0886-0060,tec2010-20861,0.0
0886-0060,sconp001-10,2.0
p011-08-e15,tec2010-20861,3.0
p011-08-e15,sconp001-10,3.0
0858-0365,tec2010-20861,2.0
0858-0365,sconp001-10,2.0
otri-08-fcie44,tec2010-20861,2.0
otri-08-fcie44,sconp001-10,3.0
p10-tep-6412,tec2010-20861,2.0
p10-tep-6412,sconp001-10,3.0
cf-0006-21010,p10-tic-6214,3.0
0858-0365,cf-0006-21010,2.0
0858-0365,p10-tic-6214,2.0
p052-08-e26,cf-0006-21010,2.0
p052-08-e26,p10-tic-6214,2.0
0815-0378,cf-0006-21010,3.0
0815-0378,p10-tic-6214,2.0
p10-tic-6220,cf-0006-21010,0.0
p10-tic-6220,p10-tic-6214,0.0
0886-0060,cf-0006-21010,3.0
0886-0060,p10-tic-6214,2.0
p011-08-e15,cf-0006-21010,2.0
p011-08-e15,p10-tic-6214,2.0
otri-08-fcie44,cf-0006-21010,3.0
otri-08-fcie44,p10-tic-6214,3.0
p10-tep-6412,cf-0006-21010,2.0
p10-tep-6412,p10-tic-6214,2.0
0788-0369,0844-0166,5.0
0858-0365,0788-0369,0.0
0858-0365,0844-0166,0.0
p10-tic-6220,0788-0369,2.0
p10-tic-6220,0844-0166,2.0
p052-08-e26,0788-0369,2.0
p052-08-e26,0844-0166,2.0
0815-0378,0788-0369,5.0
0815-0378,0844-0166,5.0
0886-0060,0788-0369,3.0
0886-0060,0844-0166,3.0
